No. ,Resource Type,Name ,Latitude ,Longitude ,Stone ,Main period ,State,Pharaoh,Ancient name,Modern name,Dynasty,Site,Base1 (m),Base2 (m),Height (m),Slope (dec degr),Volume (cu.m),Type,Lepsius,Material,Comment
L55 ,Limestone,el-Mashaya ,26.91501,31.28917,Limestone,U ,3,,,,,,,,,,,,,,
L56 ,Limestone,el-Ghanayim Bahari ,26.89001,31.30633,Limestone,GR ,2,,,,,,,,,,,,,,
L57 ,Limestone,Sidi Mansur ,26.88083,31.31233,Limestone,U ,2,,,,,,,,,,,,,,
L58 ,Limestone,el-Ghanayim Qibli ,26.87067,31.31967,Limestone,U ,2,,,,,,,,,,,,,,
L59 ,Limestone,el-Aghana ,26.86001,31.32901,Limestone,U ,2,,,,,,,,,,,,,,
L60 ,Limestone,el-Qarya Bil Diweir ,26.84251,31.33401,Limestone,U ,2,,,,,,,,,,,,,,
L61 ,Limestone,Sidi Abu Khiris tomb ,26.78151,31.35883,Limestone,U ,2,,,,,,,,,,,,,,
L62,Limestone,Nag el-Tawalib ,26.77333,31.37651,Limestone,U ,2,,,,,,,,,,,,,,
L63 ,Limestone,Nag Hamad ,26.50933,31.66267,Limestone,GR ,3,,,,,,,,,,,,,,
L64 ,Limestone,el-Salmuni ,26.20417,31.87583,Limestone,P ,3,,,,,,,,,,,,,,
L65 ,Limestone,Wadi Naqb el-Salmuni ,26.19351,31.86583,Limestone,P ,1,,,,,,,,,,,,,,
L66 ,Limestone,Wadi Emu ,27.11951,31.35683,Limestone,U ,2,,,,,,,,,,,,,,
L67 ,Limestone,el-Khawalid ,27.09351,31.38701,Limestone,U ,2,,,,,,,,,,,,,,
L68 ,Limestone,el-Nazla el-Mustagidda ,27.07867,31.39367,Limestone,U ,1,,,,,,,,,,,,,,
L69 ,Limestone,Deir Tasa ,27.06333,31.40451,Limestone,U ,2,,,,,,,,,,,,,,
L70 ,Limestone,el-Iqal Bahari ,26.99251,31.45917,Limestone,U ,2,,,,,,,,,,,,,,
L71 ,Limestone,el-Baiyadiya ,26.95951,31.46133,Limestone,U ,3,,,,,,,,,,,,,,
L72 ,Limestone,el-Iqal el-Qibli ,26.94317,31.48017,Limestone,P/GR ,2,,,,,,,,,,,,,,
L73 ,Limestone,el-Hammamiya ,26.93717,31.48733,Limestone,P ,2,,,,,,,,,,,,,,
L74 ,Limestone,Antaeopolis ,26.92417,31.49251,Limestone,P ,2,,,,,,,,,,,,,,
